City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Hervey Bay,AU,75.94,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
393,Touros,BR,78.67,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
394,Waingapu,ID,79.02,light rain,-9.6567,120.2641,Pondok Wisata Elim
397,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
403,Ballina,AU,80.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
404,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
405,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
417,Ixtapa,MX,79.23,broken clouds,20.7,-105.2,hotel la terminal
419,Aswan,EG,69.1,clear sky,24.0934,32.907,Nuba Nile
420,Nattarasankottai,IN,70.81,overcast clouds,9.8667,78.5667,Vengateshwara lodge
422,Louros,GR,69.66,broken clouds,39.1628,20.7519,Köck´s Paradise
423,Cukai,MY,78.01,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
428,Guerrero Negro,MX,71.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
431,Tra Vinh,VN,73.11,overcast clouds,9.9347,106.3453,Hồng Ân
433,Caravelas,BR,73.18,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
435,Kiunga,PG,74.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
437,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
440,Doembang Nangbuat,TH,73.94,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
441,Tarata,BO,76.42,overcast clouds,-17.6167,-66.0167,Hacienda castillo
443,Cidreira,BR,70.18,clear sky,-30.1811,-50.2056,Hotel Castelo
444,Filingue,NE,78.89,overcast clouds,14.3521,3.3168,Chez Zarkilou Issa
446,Cap Malheureux,MU,69.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
449,Abu Zabad,SD,69.91,clear sky,12.35,29.25,حامد محمد نور
