City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Pevek,RU,69.7008,170.3133,-13.49,99,98,5.3,overcast clouds
180,The Pas,CA,53.8251,-101.2541,14.02,85,100,10.36,light snow
181,Abalak,RU,58.1286,68.5944,5.16,89,71,9.08,broken clouds
182,Jyvaskyla,FI,62.2415,25.7209,26.13,86,100,8.05,overcast clouds
183,Palmer,US,42.1584,-72.3287,39.45,42,20,14.97,few clouds
184,Dikson,RU,73.5069,80.5464,-15.81,100,92,5.95,overcast clouds
185,Cape Town,ZA,-33.9258,18.4232,61.21,73,0,6.91,clear sky
186,Warrnambool,AU,-38.3833,142.4833,53.02,79,40,20.71,scattered clouds
187,Maceio,BR,-9.6658,-35.7353,78.24,83,0,8.05,clear sky
188,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,20,3.44,few clouds
189,Thaton,MM,16.9206,97.3714,75.15,92,68,2.66,broken clouds
190,Honningsvag,NO,70.9821,25.9704,37.15,81,100,10.36,overcast clouds
191,Roma,US,43.2128,-75.4557,32.95,56,100,8.05,overcast clouds
192,Castilho,BR,-20.8722,-51.4875,93.97,22,40,2.62,scattered clouds
193,Yulara,AU,-25.2406,130.9889,62.98,26,69,12.73,broken clouds
194,Camacha,PT,33.0833,-16.3333,62.02,63,40,12.66,scattered clouds
195,Yerbogachen,RU,61.2767,108.0108,-8.95,100,84,4.25,broken clouds
196,Fethiye,TR,36.6217,29.1164,58.87,67,0,4.0,clear sky
197,Faanui,PF,-16.4833,-151.75,77.81,80,52,7.7,light rain
198,Klaksvik,FO,62.2266,-6.589,49.12,88,97,39.06,light rain
199,Henties Bay,NA,-22.116,14.2845,62.87,75,100,7.38,overcast clouds
200,Kieta,PG,-6.2167,155.6333,81.01,81,99,5.99,overcast clouds
201,Dinar,TR,38.065,30.1656,51.76,92,4,8.39,clear sky
202,Teahupoo,PF,-17.8333,-149.2667,75.16,88,99,11.01,light rain
203,Hithadhoo,MV,-0.6,73.0833,80.55,80,51,10.13,broken clouds
204,Shihezi,CN,44.3,86.0333,31.05,76,49,1.52,scattered clouds
