City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Pak Phanang,TH,2022-11-17 00:54:50,8.3511,100.202,78.82,86,100,5.35
246,Fortuna,US,2022-11-17 00:54:50,40.5982,-124.1573,53.98,80,0,9.22
247,Porirua,NZ,2022-11-17 00:54:50,-41.1333,174.85,65.62,95,100,5.46
248,Harper,LR,2022-11-17 00:54:51,4.375,-7.7169,77.27,86,4,4.63
249,Dunedin,NZ,2022-11-17 00:49:56,-45.8742,170.5036,55.8,99,100,4.52
250,Wajima,JP,2022-11-17 00:54:51,37.4,136.9,52.48,87,75,4.61
251,Chabahar,IR,2022-11-17 00:54:52,25.2919,60.643,76.82,69,0,2.66
252,College,US,2022-11-17 00:54:52,64.8569,-147.8028,7.09,94,29,3.11
253,Bathsheba,BB,2022-11-17 00:54:53,13.2167,-59.5167,81.21,83,40,13.8
254,Agulu,NG,2022-11-17 00:54:53,6.11,7.0724,73.22,90,52,5.03
255,Yar-Sale,RU,2022-11-17 00:54:54,66.8333,70.8333,7.81,93,100,6.96
256,Sangueya,GN,2022-11-17 00:54:54,10.7,-14.3667,75.51,84,100,3.2
257,Bontang,ID,2022-11-17 00:54:54,0.1333,117.5,81.68,77,100,5.84
258,Grindavik,IS,2022-11-17 00:54:55,63.8424,-22.4338,48.15,76,75,20.71
259,Balkanabat,TM,2022-11-17 00:54:55,39.5108,54.3671,53.82,45,95,9.04
260,Fairbanks,US,2022-11-17 00:54:27,64.8378,-147.7164,7.09,84,29,3.06
261,Kuala Terengganu,MY,2022-11-17 00:54:56,5.3302,103.1408,83.98,100,40,1.14
262,Tiznit,MA,2022-11-17 00:54:56,29.5833,-9.5,62.82,29,19,2.1
263,Nago,JP,2022-11-17 00:54:56,26.5881,127.9761,77.43,76,100,13.87
264,Port Elizabeth,ZA,2022-11-17 00:54:57,-33.918,25.5701,63.32,82,0,9.22
265,Senanga,ZM,2022-11-17 00:54:57,-16.1167,23.2667,70.14,77,1,4.88
266,Bethel,US,2022-11-17 00:54:58,41.3712,-73.414,43.75,75,100,1.01
267,Port Lincoln,AU,2022-11-17 00:54:58,-34.7333,135.8667,61.75,62,4,17.07
268,Indian Head,US,2022-11-17 00:54:59,38.6001,-77.1622,45.95,59,100,9.22
269,Kushiro,JP,2022-11-17 00:54:59,42.975,144.3747,41.95,65,75,4.61
270,Broome,US,2022-11-17 00:54:59,42.2506,-75.833,36.28,98,53,3.47
271,Glendive,US,2022-11-17 00:55:00,47.1053,-104.7125,28.49,87,100,18.41
272,Shubarshi,KZ,2022-11-17 00:55:00,48.5872,57.1869,24.08,80,100,7.96
273,Ribeira Grande,PT,2022-11-17 00:54:27,38.5167,-28.7,63.77,63,9,3.0
274,Clyde River,CA,2022-11-17 00:55:01,70.4692,-68.5914,1.63,85,100,18.41
275,Vao,NC,2022-11-17 00:55:02,-22.6667,167.4833,76.57,81,99,13.8
276,Vychegodskiy,RU,2022-11-17 00:55:02,61.247,46.8984,14.97,83,18,5.01
277,Dubai,AE,2022-11-17 00:52:21,25.2582,55.3047,78.73,69,0,4.61
278,Luderitz,NA,2022-11-17 00:56:03,-26.6481,15.1594,59.95,81,7,13.31
279,Sainte-Anne,GP,2022-11-17 00:56:04,16.2333,-61.3667,77.18,100,40,3.44
280,Kushima,JP,2022-11-17 00:56:04,31.4583,131.2333,63.45,56,100,3.56
281,Tacuarembo,UY,2022-11-17 00:52:14,-31.7333,-55.9833,66.72,54,0,4.94
282,Kilindoni,TZ,2022-11-17 00:56:05,-7.9139,39.6668,79.11,75,49,9.89
283,Vila Franca Do Campo,PT,2022-11-17 00:53:44,37.7167,-25.4333,64.2,89,100,6.31
284,Hofn,IS,2022-11-17 00:56:06,64.2539,-15.2082,46.15,89,100,20.87
285,Vanavara,RU,2022-11-17 00:56:06,60.34,102.2797,13.21,96,100,2.91
286,Tulum,MX,2022-11-17 00:55:48,20.2167,-87.4667,78.24,80,25,7.47
287,Mukhen,RU,2022-11-17 00:56:07,48.1,136.1,28.9,67,95,6.69
288,Moss Vale,AU,2022-11-17 00:56:07,-34.55,150.3833,59.14,38,18,5.3
289,Tautira,PF,2022-11-17 00:56:08,-17.7333,-149.15,77.94,79,89,8.59
290,Nsanje,MW,2022-11-17 00:56:08,-16.92,35.262,72.81,87,0,3.94
291,Port Hedland,AU,2022-11-17 00:52:59,-20.3167,118.5667,78.85,61,40,11.5
292,Husavik,IS,2022-11-17 00:56:09,66.0449,-17.3389,43.95,79,100,15.59
293,Saint-Augustin,CA,2022-11-17 00:56:10,51.226,-58.6502,20.23,92,100,3.04
294,Margate,GB,2022-11-17 00:56:10,51.3813,1.3862,55.9,94,100,3.0
